Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Attenuation Phase R-HSA-3371568,1/26,0.1222622476286691,0.2504166517695634,0,0,8.030303030303031,16.876380218002918,HSBP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4750727388834062
Reactome_2022,Cell-Cell Communication R-HSA-1500931,2/120,0.1211657133256166,0.2504166517695634,0,0,3.4213075060532687,7.220998411655919,VASP;TYROBP,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4750727388834062
Reactome_2022,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,1/27,0.1266566423028266,0.2578638226524614,0,0,7.721056721056721,15.953830010816358,CEBPB,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.48250648893594533
Reactome_2022,Recycling Pathway Of L1 R-HSA-437239,1/28,0.1310292553948657,0.2636091528654103,0,0,7.434717545828657,15.109834134055738,AP2S1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4877965698393012
Reactome_2022,DAP12 Signaling R-HSA-2424491,1/28,0.1310292553948657,0.2636091528654103,0,0,7.434717545828657,15.109834134055738,TYROBP,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4877965698393012
Reactome_2022,FCERI Mediated MAPK Activation R-HSA-2871796,1/29,0.13538019382269,0.2676120110448524,0,0,7.1688311688311686,14.335283778329618,LYN,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.48979616668442494
Reactome_2022,FCERI Mediated Ca+2 Mobilization R-HSA-2871809,1/29,0.13538019382269,0.2676120110448524,0,0,7.1688311688311686,14.335283778329618,LYN,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.48979616668442494
Reactome_2022,HSF1 Activation R-HSA-3371511,1/29,0.13538019382269,0.2676120110448524,0,0,7.1688311688311686,14.335283778329618,HSBP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.48979616668442494
Reactome_2022,Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,2/130,0.1379293598318549,0.2695171399013256,0,0,3.152423469387755,6.244993797842871,LYN;FCER1G,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.491100854645568
Reactome_2022,Host Interactions Of HIV Factors R-HSA-162909,2/130,0.1379293598318549,0.2695171399013256,0,0,3.152423469387755,6.244993797842871,HCK;AP2S1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.491100854645568
