Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,17/123,3.5623382443251844e-20,2.3511432412546217e-17,0,0,38.24710161400319,1712.754347107462,IFITM1;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;CD3E;CD3D;HLA-E;NCR3;CD8B;CD8A;CD247;B2M;HCST;CD99;KLRG1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.91732228890912e-16
Reactome_2022,Adaptive Immune System R-HSA-1280218,30/733,1.213026611587842e-19,4.002987818239879e-17,0,0,11.703109124161756,509.740599928969,IFITM1;CD3E;CD3D;RAP1B;UBB;UBC;FYN;RPS27A;B2M;CD99;CTSC;KLRG1;LAG3;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;ZAP70;NCR3;PTPRC;CD8B;CD8A;LCK;PSME1;CD247;CALM1;PPIA;HCST,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6533173645126168e-15
Reactome_2022,Immune System R-HSA-168256,41/1943,1.3210168310256626e-16,2.906237028256457e-14,0,0,6.5757543353116255,240.42904089930127,IFITM1;CD3E;IL2RG;CD3D;ACTG1;RAP1B;UBB;CCL5;UBC;CCL4;FYN;RPS27A;B2M;CD99;CTSC;KLRG1;CD53;IL32;HSPA8;LAG3;HSP90AA1;ANXA1;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;ZAP70;NCR3;GZMM;PTPRC;CD8B;BIN2;CD8A;LCK;PSME1;CD247;CALM1;PPIA;HCST,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.010809633073408e-12
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,14/131,3.605616670488844e-15,5.156031838799047e-13,0,0,27.525541641820716,915.3972185067292,SH2D1A;PRF1;HLA-B;HLA-C;GZMB;HLA-A;HLA-E;ZAP70;NCR3;LCK;FYN;CD247;HCST;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6097374992786e-11
KEGG_2021_Human,Antigen processing and presentation,11/78,1.636174867781349e-13,1.1698650304636643e-11,0,0,36.58611437196042,1077.140760081164,HSPA8;HSP90AA1;CD8B;CD8A;HLA-B;PSME1;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.514026398324567e-10
KEGG_2021_Human,Human immunodeficiency virus 1 infection,14/212,2.9099454651672378e-12,1.38707400506305e-10,0,0,16.19849659384543,430.2788309542311,APOBEC3G;HLA-B;HLA-C;CXCR4;CD3G;HLA-A;HLA-F;CD3E;CD3D;HLA-E;CFL1;CD247;CALM1;B2M,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.76695097950342e-09
KEGG_2021_Human,T cell receptor signaling pathway,11/104,4.218044989419247e-12,1.5079510837173807e-10,0,0,26.32318472876646,689.4476246616272,ZAP70;PTPRC;CD8B;CD8A;LCK;CD3G;FYN;CD247;CD3E;CD3D;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.067364657781915e-09
Reactome_2022,Host Interactions Of HIV Factors R-HSA-162909,12/130,2.194618640318853e-12,3.6211207565261065e-10,0,0,22.86055469953775,613.6918840881525,CD8B;UBB;APOBEC3G;LCK;UBC;PSME1;FYN;HLA-A;CD247;RPS27A;B2M;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.343402045627286e-09
KEGG_2021_Human,Primary immunodeficiency,8/38,1.2688682572391311e-11,3.628963215703915e-10,0,0,57.594202898550726,1445.056442697466,ZAP70;PTPRC;CD8B;CD8A;LCK;CD3E;IL2RG;CD3D,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.343402045627286e-09
KEGG_2021_Human,Viral myocarditis,9/60,1.6189777622301622e-11,3.8585636666485524e-10,0,0,38.49191984486102,956.3949170128328,PRF1;HLA-B;HLA-C;FYN;HLA-A;HLA-F;ACTB;ACTG1;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.807182652731737e-09
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,22/702,4.000649869678738e-12,5.280857827975934e-10,0,0,7.97209653092006,209.22420001620512,IL32;HSPA8;IFITM1;HSP90AA1;ANXA1;HLA-B;HLA-C;HLA-A;HLA-F;IL2RG;HLA-E;RAP1B;UBB;LCK;CCL5;UBC;CCL4;PSME1;FYN;RPS27A;B2M;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.3336688718423298e-08
Reactome_2022,Endosomal/Vacuolar Pathway R-HSA-1236977,6/11,6.074487967833078e-12,6.681936764616386e-10,0,0,253.9787234042553,6559.489038498821,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6662817152015074e-08
Reactome_2022,ER-Phagosome Pathway R-HSA-1236974,10/89,2.2601484244631075e-11,2.130997085922358e-09,0,0,27.877637130801688,683.3646733532225,UBB;UBC;HLA-B;PSME1;HLA-C;HLA-A;HLA-F;RPS27A;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.1836830955105214e-08
Reactome_2022,Infectious Disease R-HSA-5663205,24/961,4.206075314369195e-11,3.470012134354586e-09,0,0,6.390945346289951,152.69186571651449,DDX5;HSP90AA1;APOBEC3G;HLA-B;HLA-C;CXCR4;RPL23A;HLA-A;HLA-F;ACTG1;HLA-E;CD8B;UBB;YWHAQ;LCK;UBC;PSME1;RPS3;FYN;CD247;CALM1;RPS27A;B2M;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.14118231521653e-08
KEGG_2021_Human,Cell adhesion molecules,11/148,2.017583602893804e-10,4.121635074483056e-09,0,0,17.829328303124743,398.0210401833027,CD2;PTPRC;CD8B;CD8A;HLA-B;HLA-C;HLA-A;HLA-F;TIGIT;CD99;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.55689068440077e-08
Reactome_2022,Antigen processing-Cross Presentation R-HSA-1236975,10/104,1.0908737960463219e-10,7.99974117100636e-09,0,0,23.411347517730498,537.0299018817865,UBB;UBC;HLA-B;PSME1;HLA-C;HLA-A;HLA-F;RPS27A;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.8229295254620818e-07
Reactome_2022,HIV Infection R-HSA-162906,13/229,1.219856577439133e-10,8.05105341109828e-09,0,0,13.617071094082588,310.83848374394165,APOBEC3G;CXCR4;HLA-A;CD8B;UBB;LCK;UBC;PSME1;FYN;CD247;RPS27A;B2M;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.82413867285741e-07
KEGG_2021_Human,Allograft rejection,7/38,7.015930824950525e-10,1.2540976349599063e-08,0,0,48.24245577523413,1016.8384438797892,PRF1;HLA-B;GZMB;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.7935377093348477e-07
Reactome_2022,TCR Signaling R-HSA-202403,10/116,3.2454504278225426e-10,1.9472702566935258e-08,0,0,20.748427672955973,453.3240301012675,ZAP70;PTPRC;UBB;LCK;UBC;PSME1;CD247;CD3E;RPS27A;CD3D,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.265705286071729e-07
KEGG_2021_Human,Graft-versus-host disease,7/42,1.4755650560177112e-09,2.344508922339253e-08,0,0,42.72043010752688,868.686830712901,PRF1;HLA-B;GZMB;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.107680152239087e-07
KEGG_2021_Human,Type I diabetes mellitus,7/43,1.7553180872502691e-09,2.5101048647678852e-08,0,0,41.53166069295101,837.3038526964123,PRF1;HLA-B;GZMB;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.409003146089492e-07
KEGG_2021_Human,Th17 cell differentiation,9/107,3.237822827002636e-09,4.2091696751034276e-08,0,0,19.98407714734245,390.65602826893945,ZAP70;HSP90AA1;LCK;CD3G;CD247;CD3E;IL2RG;CD3D;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.924790246943898e-07
Reactome_2022,Innate Immune System R-HSA-168249,23/1035,1.1300118696907492e-09,6.21506528329912e-08,0,0,5.574970484061393,114.8501771192397,CD53;HSPA8;HSP90AA1;HLA-B;HLA-C;HLA-A;ACTG1;HLA-E;RAP1B;GZMM;PTPRC;BIN2;UBB;LCK;UBC;PSME1;FYN;CD247;CALM1;RPS27A;B2M;PPIA;CTSC,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.2901954894387963e-06
Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,13/283,1.641869550651954e-09,8.335645411002229e-08,0,0,10.863771817794806,219.746186962228,DDX5;HSP90AA1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;UBB;YWHAQ;UBC;RPS3;RPS27A;B2M,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.7036512399290638e-06
KEGG_2021_Human,Autoimmune thyroid disease,7/53,8.061463670569313e-09,9.606577540761765e-08,0,0,32.486676016830295,605.4272397275116,PRF1;HLA-B;HLA-C;GZMB;HLA-A;HLA-F;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.9533374332882256e-06
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,11/219,1.2732590964061376e-08,1.4005850060467518e-07,0,0,11.701166810717371,212.71669225133104,LCK;HLA-B;HLA-C;CD3G;HLA-A;HLA-F;CD3E;IL2RG;B2M;CD3D;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.818943933490036e-06
Reactome_2022,Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952,6/27,3.649133337536311e-09,1.720305716267118e-07,0,0,60.422492401215806,1173.935078642783,CD8B;LCK;FYN;HLA-A;CD247;B2M,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.42764430401966e-06
KEGG_2021_Human,Th1 and Th2 cell differentiation,8/92,1.9360467649976492e-08,1.9775334813904562e-07,0,0,20.51345755693582,364.3196749481677,ZAP70;LCK;CD3G;CD247;CD3E;IL2RG;CD3D;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.920460126856579e-06
Reactome_2022,"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",6/28,4.625672071844851e-09,2.035295711611734e-07,0,0,57.67311411992263,1106.841884002455,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.0148992520102115e-06
Reactome_2022,Signaling By Interleukins R-HSA-449147,15/453,7.330378415846884e-09,3.02378109653684e-07,0,0,7.841257050765511,146.8764575004884,IL32;HSPA8;HSP90AA1;ANXA1;IL2RG;RAP1B;UBB;LCK;CCL5;UBC;CCL4;PSME1;FYN;RPS27A;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.8771039449845936e-06
Reactome_2022,Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,5/17,1.6664329868330147e-08,6.469681007704645e-07,0,0,87.2280701754386,1562.2543301775686,ZAP70;LCK;CD247;CD3E;CD3D,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.2392408307028461e-05
KEGG_2021_Human,Epstein-Barr virus infection,10/202,6.94734065146274e-08,6.623131421061145e-07,0,0,11.405092592592592,187.98240624342893,HLA-B;HLA-C;CD3G;HLA-A;CD247;HLA-F;CD3E;B2M;CD3D;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.2625344271397808e-05
Reactome_2022,Modulation By Mtb Of Host Immune System R-HSA-9637628,4/7,2.03532203771726e-08,7.462847471629954e-07,0,0,276.34722222222223,4894.11668073383,UBB;UBC;RPS27A;B2M,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.4157985753594627e-05
Reactome_2022,Downstream TCR Signaling R-HSA-202424,8/94,2.296427241845562e-08,7.977063050621426e-07,0,0,20.03437815975733,352.3912127034468,UBB;LCK;UBC;PSME1;CD247;CD3E;RPS27A;CD3D,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.5061454759863786e-05
Reactome_2022,SARS-CoV Infections R-HSA-9679506,13/369,3.8879725845335873e-08,1.23778463444395e-06,0,0,8.20328038228077,139.9708743347115,DDX5;HSP90AA1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;UBB;YWHAQ;UBC;RPS3;RPS27A;B2M,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.282705151428029e-05
Reactome_2022,Chaperone Mediated Autophagy R-HSA-9613829,5/20,4.125948781479833e-08,1.23778463444395e-06,0,0,69.7719298245614,1186.3589670673543,HSPA8;HSP90AA1;UBB;UBC;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.282705151428029e-05
Reactome_2022,Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,5/20,4.125948781479833e-08,1.23778463444395e-06,0,0,69.7719298245614,1186.3589670673543,PTPRC;LCK;CD247;CD3E;CD3D,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.282705151428029e-05
Reactome_2022,Axon Guidance R-HSA-422475,15/519,4.4475534688113226e-08,1.2762544736589013e-06,0,0,6.791316526610644,114.965624079102,HSPA8;HSP90AA1;CXCR4;RPL23A;MYL12A;ACTG1;MYL12B;PTPRC;UBB;UBC;PSME1;RPS3;FYN;PFN1;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.3427541611377517e-05
Reactome_2022,SARS-CoV-2-host Interactions R-HSA-9705683,10/196,5.23009935944367e-08,1.4382773238470093e-06,0,0,11.776583034647553,197.4491408169767,HSP90AA1;YWHAQ;HLA-B;RPS3;HLA-C;HLA-A;HLA-F;RPS27A;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.6159493527767852e-05
Reactome_2022,Interferon Signaling R-HSA-913531,10/200,6.326649225449628e-08,1.6702353955187017e-06,0,0,11.526315789473683,191.05917311433384,IFITM1;UBB;UBC;HLA-B;HLA-C;HLA-A;HLA-F;RPS27A;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.983100605059303e-05
Reactome_2022,Disease R-HSA-1643685,27/1736,6.61828829046852e-08,1.6800270275804703e-06,0,0,3.93690935177986,65.08043423339288,DDX5;CXCR4;ACTG1;RAP1B;UBB;YWHAQ;UBC;RPS3;FYN;RPS27A;B2M;HSP90AA1;APOBEC3G;HLA-B;HLA-C;RPL23A;HLA-A;HLA-F;HLA-E;TPST2;CD8B;BIN2;LCK;PSME1;CD247;CALM1;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.9871332575589974e-05
KEGG_2021_Human,Human cytomegalovirus infection,10/225,1.9023416325713585e-07,1.7002178341106517e-06,0,0,10.17312661498708,157.4292369671697,CCL5;CCL4;HLA-B;HLA-C;CXCR4;HLA-A;HLA-F;CALM1;B2M;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.0095373715396132e-05
Reactome_2022,DAP12 Interactions R-HSA-2172127,6/43,7.046240716521026e-08,1.7224143973718062e-06,0,0,34.266244968372625,564.3029128296865,LCK;HLA-B;HLA-C;FYN;B2M;HLA-E,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.0352769269240942e-05
Reactome_2022,Nervous System Development R-HSA-9675108,15/545,8.414564425411521e-08,1.983433043132716e-06,0,0,6.449500554938957,105.0669862637268,HSPA8;HSP90AA1;CXCR4;RPL23A;MYL12A;ACTG1;MYL12B;PTPRC;UBB;UBC;PSME1;RPS3;FYN;PFN1;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.479784077885495e-05
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,7/89,3.112262654466516e-07,2.6179621152277164e-06,0,0,18.191188040912667,272.55394344589786,ZAP70;LCK;CD3G;CD247;CD3E;CD3D;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.572784047082773e-05
KEGG_2021_Human,Shigellosis,10/246,4.334728565260068e-07,3.262453604379946e-06,0,0,9.258003766478344,135.64305575843323,UBB;CCL5;UBC;ARPC5L;PFN1;RPS27A;ACTB;MYL12A;ACTG1;MYL12B,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.575701957485554e-05
KEGG_2021_Human,Yersinia infection,8/137,4.323757526781576e-07,3.262453604379946e-06,0,0,13.327266599258513,195.29737597438964,ZAP70;CD8B;CD8A;LCK;ARPC5L;ACTB;LAT;ACTG1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.575701957485554e-05
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,6/49,1.5776360503162636e-07,3.590482045547358e-06,0,0,29.476001979218207,461.6580977666666,HSP90AA1;UBB;UBC;MATK;FYN;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",6.057983536423521e-05
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,9/193,5.37542100100391e-07,3.843426015717796e-06,0,0,10.597467749641662,152.98778657358002,UBB;UBC;HLA-B;HLA-C;HLA-A;HLA-F;CALM1;RPS27A;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",6.457281420475026e-05
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,5/29,3.049719828171407e-07,6.709383621977095e-06,0,0,43.58771929824562,653.9485543615966,HSP90AA1;UBB;UBC;MATK;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00011038467245285968
Reactome_2022,Generation Of Second Messenger Molecules R-HSA-202433,5/32,5.1104532419394e-07,1.0880319805419367e-05,0,0,38.73879142300195,561.2014162049836,ZAP70;LCK;CD247;CD3E;CD3D,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00017325489168067387
KEGG_2021_Human,Leukocyte transendothelial migration,7/114,1.6788105678633373e-06,1.1431900533545582e-05,0,0,13.92332428901618,185.1443606316753,RAP1B;CXCR4;ACTB;MYL12A;CD99;ACTG1;MYL12B,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0001805875920936583
